"BehaviorSpace results (NetLogo 5.3)"
"truel.nlogo"
"sequential"
"02/21/2016 18:03:28:108 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","bullets","q","sequential?","diag?","[step]","payoff","player 0 != nobody"
"4","0","0.5","true","false","3","7","true"
"9","0","0.5","true","false","2","2","false"
"10","0","0.5","true","false","2","4","true"
"11","0","0.5","true","false","2","4","true"
"3","0","0.5","true","false","2","4","true"
"12","0","0.5","true","false","2","5","false"
"13","0","0.5","true","false","2","2","false"
"14","0","0.5","true","false","3","7","true"
"15","0","0.5","true","false","2","2","false"
"2","0","0.5","true","false","3","7","true"
"17","0","0.5","true","false","2","4","true"
"16","0","0.5","true","false","6","16","true"
"18","0","0.5","true","false","2","4","true"
"20","0","0.5","true","false","4","10","true"
"19","0","0.5","true","false","4","10","true"
"8","0","0.5","true","false","2","2","false"
"21","0","0.5","true","false","2","4","true"
"25","0","0.5","true","false","2","4","true"
"22","0","0.5","true","false","2","4","true"
"23","0","0.5","true","false","2","2","false"
"28","0","0.5","true","false","2","4","true"
"27","0","0.5","true","false","2","4","true"
"26","0","0.5","true","false","7","19","true"
"30","0","0.5","true","false","2","2","false"
"29","0","0.5","true","false","3","8","false"
"31","0","0.5","true","false","2","4","true"
"32","0","0.5","true","false","2","4","true"
"7","0","0.5","true","false","2","5","false"
"5","0","0.5","true","false","2","4","true"
"24","0","0.5","true","false","2","4","true"
"33","0","0.5","true","false","5","13","true"
"34","0","0.5","true","false","3","7","true"
"35","0","0.5","true","false","3","7","true"
"6","0","0.5","true","false","3","7","true"
"37","0","0.5","true","false","2","2","false"
"41","0","0.5","true","false","2","2","false"
"40","0","0.5","true","false","2","4","true"
"38","0","0.5","true","false","2","4","true"
"36","0","0.5","true","false","2","4","true"
"39","0","0.5","true","false","4","10","true"
"42","0","0.5","true","false","3","7","true"
"43","0","0.5","true","false","2","4","true"
"44","0","0.5","true","false","2","2","false"
"45","0","0.5","true","false","2","2","false"
"46","0","0.5","true","false","3","2","false"
"47","0","0.5","true","false","3","2","false"
"51","0","0.5","true","false","2","4","true"
"52","0","0.5","true","false","2","4","true"
"50","0","0.5","true","false","3","7","true"
"48","0","0.5","true","false","6","16","true"
"49","0","0.5","true","false","4","10","true"
"54","0","0.5","true","false","3","2","false"
"53","0","0.5","true","false","4","10","true"
"56","0","0.5","true","false","2","4","true"
"57","0","0.5","true","false","2","4","true"
"58","0","0.5","true","false","3","2","false"
"59","0","0.5","true","false","3","7","true"
"61","0","0.5","true","false","2","4","true"
"55","0","0.5","true","false","7","19","true"
"62","0","0.5","true","false","2","4","true"
"63","0","0.5","true","false","3","7","true"
"60","0","0.5","true","false","4","10","true"
"64","0","0.5","true","false","2","4","true"
"67","0","0.5","true","false","2","4","true"
"65","0","0.5","true","false","2","2","false"
"66","0","0.5","true","false","2","2","false"
"68","0","0.5","true","false","2","4","true"
"69","0","0.5","true","false","2","4","true"
"70","0","0.5","true","false","2","2","false"
"71","0","0.5","true","false","2","4","true"
"74","0","0.5","true","false","2","4","true"
"73","0","0.5","true","false","2","5","false"
"75","0","0.5","true","false","2","2","false"
"76","0","0.5","true","false","2","4","true"
"78","0","0.5","true","false","2","4","true"
"77","0","0.5","true","false","2","2","false"
"80","0","0.5","true","false","2","4","true"
"72","0","0.5","true","false","6","16","true"
"79","0","0.5","true","false","2","5","false"
"82","0","0.5","true","false","2","5","false"
"81","0","0.5","true","false","4","10","true"
"83","0","0.5","true","false","3","7","true"
"84","0","0.5","true","false","3","7","true"
"86","0","0.5","true","false","2","2","false"
"85","0","0.5","true","false","2","2","false"
"87","0","0.5","true","false","2","2","false"
"89","0","0.5","true","false","2","5","false"
"91","0","0.5","true","false","2","2","false"
"88","0","0.5","true","false","4","10","true"
"90","0","0.5","true","false","2","4","true"
"93","0","0.5","true","false","2","4","true"
"94","0","0.5","true","false","2","4","true"
"92","0","0.5","true","false","3","7","true"
"95","0","0.5","true","false","2","4","true"
"96","0","0.5","true","false","2","2","false"
"98","0","0.5","true","false","2","2","false"
"97","0","0.5","true","false","2","4","true"
"101","0","0.5","true","false","2","2","false"
"100","0","0.5","true","false","3","7","true"
"99","0","0.5","true","false","3","5","false"
"102","0","0.5","true","false","2","4","true"
"103","0","0.5","true","false","2","4","true"
"106","0","0.5","true","false","2","5","false"
"104","0","0.5","true","false","4","10","true"
"105","0","0.5","true","false","4","10","true"
"108","0","0.5","true","false","2","5","false"
"107","0","0.5","true","false","3","7","true"
"110","0","0.5","true","false","2","2","false"
"109","0","0.5","true","false","4","10","true"
"111","0","0.5","true","false","2","4","true"
"113","0","0.5","true","false","2","5","false"
"114","0","0.5","true","false","3","7","true"
"115","0","0.5","true","false","2","5","false"
"117","0","0.5","true","false","2","4","true"
"116","0","0.5","true","false","2","4","true"
"112","0","0.5","true","false","5","13","true"
"118","0","0.5","true","false","2","2","false"
"121","0","0.5","true","false","2","4","true"
"120","0","0.5","true","false","2","4","true"
"124","0","0.5","true","false","2","4","true"
"123","0","0.5","true","false","2","2","false"
"119","0","0.5","true","false","5","13","true"
"125","0","0.5","true","false","2","2","false"
"126","0","0.5","true","false","2","2","false"
"128","0","0.5","true","false","2","4","true"
