"BehaviorSpace results (NetLogo 5.3)"
"war of attrition.nlogo"
"experiment"
"02/21/2016 20:25:59:501 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","V","x1","x2","dynamic?","[step]","[u] of player 0","[u] of player 1"
"8","50","1","8","false","0","-1","49"
"9","50","1","9","false","0","-1","49"
"2","50","1","2","false","0","-1","49"
"5","50","1","5","false","0","-1","49"
"3","50","1","3","false","0","-1","49"
"4","50","1","4","false","0","-1","49"
"10","50","1","10","false","0","-1","49"
"7","50","1","7","false","0","-1","49"
"6","50","1","6","false","0","-1","49"
"11","50","1","11","false","0","-1","49"
"12","50","1","12","false","0","-1","49"
"13","50","1","13","false","0","-1","49"
"15","50","1","15","false","0","-1","49"
"14","50","1","14","false","0","-1","49"
"16","50","1","16","false","0","-1","49"
"17","50","1","17","false","0","-1","49"
"18","50","1","18","false","0","-1","49"
"19","50","1","19","false","0","-1","49"
"20","50","1","20","false","0","-1","49"
"21","50","1","21","false","0","-1","49"
"22","50","1","22","false","0","-1","49"
"23","50","1","23","false","0","-1","49"
"24","50","1","24","false","0","-1","49"
"25","50","1","25","false","0","-1","49"
"26","50","1","26","false","0","-1","49"
"27","50","1","27","false","0","-1","49"
"28","50","1","28","false","0","-1","49"
"29","50","1","29","false","0","-1","49"
"30","50","1","30","false","0","-1","49"
"31","50","1","31","false","0","-1","49"
"32","50","1","32","false","0","-1","49"
"33","50","1","33","false","0","-1","49"
"34","50","1","34","false","0","-1","49"
"35","50","1","35","false","0","-1","49"
"36","50","1","36","false","0","-1","49"
"37","50","1","37","false","0","-1","49"
"38","50","1","38","false","0","-1","49"
"39","50","1","39","false","0","-1","49"
"40","50","1","40","false","0","-1","49"
"41","50","1","41","false","0","-1","49"
"42","50","1","42","false","0","-1","49"
"44","50","1","44","false","0","-1","49"
"43","50","1","43","false","0","-1","49"
"45","50","1","45","false","0","-1","49"
"46","50","1","46","false","0","-1","49"
"47","50","1","47","false","0","-1","49"
"48","50","1","48","false","0","-1","49"
"50","50","1","50","false","0","-1","49"
"49","50","1","49","false","0","-1","49"
"51","50","1","51","false","0","-1","49"
"52","50","1","52","false","0","-1","49"
"53","50","1","53","false","0","-1","49"
"54","50","1","54","false","0","-1","49"
"55","50","1","55","false","0","-1","49"
"56","50","1","56","false","0","-1","49"
"57","50","1","57","false","0","-1","49"
"58","50","1","58","false","0","-1","49"
"60","50","1","60","false","0","-1","49"
"59","50","1","59","false","0","-1","49"
"61","50","1","61","false","0","-1","49"
"62","50","1","62","false","0","-1","49"
"63","50","1","63","false","0","-1","49"
"64","50","1","64","false","0","-1","49"
"65","50","1","65","false","0","-1","49"
"66","50","1","66","false","0","-1","49"
"67","50","1","67","false","0","-1","49"
"69","50","1","69","false","0","-1","49"
"68","50","1","68","false","0","-1","49"
"70","50","1","70","false","0","-1","49"
"71","50","1","71","false","0","-1","49"
"72","50","1","72","false","0","-1","49"
"73","50","1","73","false","0","-1","49"
"74","50","1","74","false","0","-1","49"
"75","50","1","75","false","0","-1","49"
"76","50","1","76","false","0","-1","49"
"77","50","1","77","false","0","-1","49"
"78","50","1","78","false","0","-1","49"
"79","50","1","79","false","0","-1","49"
"80","50","1","80","false","0","-1","49"
"81","50","1","81","false","0","-1","49"
"82","50","1","82","false","0","-1","49"
"83","50","1","83","false","0","-1","49"
"84","50","1","84","false","0","-1","49"
"85","50","1","85","false","0","-1","49"
"86","50","1","86","false","0","-1","49"
"87","50","1","87","false","0","-1","49"
"88","50","1","88","false","0","-1","49"
"90","50","1","90","false","0","-1","49"
"91","50","1","91","false","0","-1","49"
"89","50","1","89","false","0","-1","49"
"93","50","1","93","false","0","-1","49"
"92","50","1","92","false","0","-1","49"
"94","50","1","94","false","0","-1","49"
"95","50","1","95","false","0","-1","49"
"96","50","1","96","false","0","-1","49"
"97","50","1","97","false","0","-1","49"
"98","50","1","98","false","0","-1","49"
"99","50","1","99","false","0","-1","49"
"100","50","1","100","false","0","-1","49"
"101","50","2","1","false","0","49","-1"
"102","50","2","2","false","0","23","23"
"103","50","2","3","false","0","-2","48"
"104","50","2","4","false","0","-2","48"
"106","50","2","6","false","0","-2","48"
"107","50","2","7","false","0","-2","48"
"108","50","2","8","false","0","-2","48"
"105","50","2","5","false","0","-2","48"
"111","50","2","11","false","0","-2","48"
"110","50","2","10","false","0","-2","48"
"112","50","2","12","false","0","-2","48"
"113","50","2","13","false","0","-2","48"
"109","50","2","9","false","0","-2","48"
"114","50","2","14","false","0","-2","48"
"115","50","2","15","false","0","-2","48"
"118","50","2","18","false","0","-2","48"
